M1-L: Comparison of Mean ADCs for PMT 3 before and after resistors
	   (1335)  	    (1458)
Pixel	   Mean	   Sigma     Mean    Sigma
1	   286.1   0	     197     62
2	   274.5   0	     168     60
3	   256.3   0	     177     56
4	   273.5   0	     190     60
5	   286.1   0	     204     50
6	   346	   0	     197     58
7	   277.3   0	     164     48		
8	   242.8   0	     203     67     
9	   296.1   0	     155     61
10	   264.4   0	     197     56
11	   311.1   0	          
12	   243.3   0	     185     48	
14	   280.7   0	     189     57
15	   274.5   0	     186     64
