Comparison of mean adc for PMT 11 before and after resistors.
          (1440)             (1505)
Pixel     Mean     Sigma     Mean     Sigma
1         498       179      505      170
2         393       143      502      213
3         390       138      488      153
4         466       98       469      108
5         553       168      410      108
6         793       302      473      150
7         1036      367      466      105
8         1052      252      432      82
9         373       78       487      114
10        546       123      470      132
11        365       89       435      91
12        1147      237      486      107
14        567       123      437      102
16        452       156      463      108

