Comparison of Mean ADCs for PMT1 before and after resistors
	   (1439)  	      (1461)
Pixel	   Mean	   Sigma      Mean	Sigma
2	   302     87	      197	52
3	   270     93	      200	47
4	   475     127	      190	47
5	   305     102	      197	47
6	   292     92	      193	61
7	   277     83	      196	58
8	   341     93	      204	53
9	   241     85	      215	64
10	   261     57	      157	196
11	   257     66	      160	116
12	   201     65	      200	65
13	   129     52	      149	60
15	   156     41	      0  	0
16	   144     55	      157	49
