Comparison of Mean ADCs for PMT1 before and after resistors
	   (1439)  	      (1496)
Pixel	   Mean	   Sigma      Mean	Sigma
2	   302     87	      160	56
3	   270     93	      175	46
4	   475     127	      182	49
5	   305     102	      152	46
6	   292     92	      134	63
7	   277     83	      150	38
8	   341     93	      172	53
9	   241     85	      162	48
10	   261     57	      166	59
11	   257     66	      142	80
12	   201     65	      169	58
13	   129     52	      152	65
15	   156     41	      160 	56
16	   144     55	      160	66
