Comparison of Mean ADCs for PMT 3 before and after resistors
	   (1439)  	    (1521)
Pixel	   Mean	   Sigma     Mean    Sigma
1	   182     76	     159     57
2	   256     73	     157     45
3	   233     74	     164     54
4	   235     73	     160     54
5	   216     77	     149     55
6	   186     68	     160     49
7	   127     41	     162     46		
8	   160     63	     165     58     
9	   143     43	     129     68
10	   193     71	     158     47
11	   1019    313	     790     282
12	   219     52	     168     52
14	   183     44	     158     43
15	   251     81	     157     58
