Comparison of mean adc values for PMT 5 before and after resistors
         (1439)           (1482)
Pixel    Mean     Sigma   Mean     Sigma
1        456       118    373      115
2        392       115    410      85
3        510       165    434      152
4        1091      217    1146     252
5        279       65     392      59
7        235       47     395      85
8        239       54     402      88
9        221       43     375      76 
10       196       54     379      67
11       167       37     317      68
12       175       33     322      75
14       1929      403    1988     436
15       278       62     389      106
16       254       52     383      89
