Comparison of Mean ADCs for PMT 9 before and after resistors
          (1488)             (1491)
Pixel      Mean     Sigma     Mean     Sigma
2          629       144        527        159
3          552       123        588        158
4          786       198        546        161
5          513       145        606        155
7          467       102        598        152
8          482       114        569        104
9          844       176        571        146
10         1020      226        580        142
11         1238      355        567        134
12         742       268        603        186 
13         1306      388        631        187
14         1061      393        596        203
15         1202      541        545        226
16         2001      562        1099       362 
