Comparison of mean adc for PMT 11 before and after resistors.
          (1335)             (1359) -> use 60 neighbor curs
Pixel     Mean     Sigma     Mean     Sigma
1         448        0       323      103
2         350        0       345      98
3         472        0       339      107
4         455        0       318      80
5         463        0       346      92
6         646        0       336      106
7         450        0       318      90
8         770        0       322      106
9         319        0       347      137
10        482        0       336      82
11        387        0       299      77
12        926        0       275      86
14        505        0       282      146
15        414        0       327      128

