Comparison of mean adc for PMT 12 before and after resistors.
           (1342)
Pixel      Mean     Sigma      Mean     Sigma
1          683        0        192      81
2          348        0        241      89
3          372        0        255      67
4          369        0        275      57
5          1002       0        218      51
6          568        0        263      61
7          634        0        252      55
8          487        0        251      62
9          792        0        227      55
10         473        0        250      56
11         463        0        257      59
12         465        0        238      57
14         539        0        234      58
15         590        0        271      70

