Comparison of mean adc for PMT 13 before and after resistors.
          (1342)              (1369)
Pixel     Mean     Sigma      Mean      Sigma
1         286        0        195.6      95.6
2         379        0        208.8      95.9
3         246        0        205.1      46.0
4         505        0        196.8      66.5
6         521        0        235.4      83.7
7         356        0        188.8      80.8
8         343        0        189.0      72.4
9         345        0        181.4      91.6
10        293        0        207.1      80.6
11        272        0        226.4      77.1
12        595        0        224.4      50.4
13        407        0        210.0      121.6
14        381        0        212.8      128.7
15        403        0        193.7      77.5
