Comparison of mean adc for PMT 14 before and after resistors.

Pixel      Mean      Sigma       Mean      Sigma
1          171         0         100       29
2          140         0         95        35
3          218         0         112       63
4          185         0         128       38
5          258         0         126       41
6          268         0         107       46
7          323         0         133       38
8          219         0         136       52
9          238         0         145       41
10         254         0         142       37
11         273         0         149       40
12         248         0         131       32
14         240         0         148       42
15         241         0         131       44


