Comparison of Mean ADCs for PMT1 before and after resistors
	   (1335)  	      (1354)
Pixel	   Mean	   Sigma      Mean	Sigma
1	   187.1   0	      109	45
2	   194.1   0	      117	32
3	   204.5   0	      92	27
6	   222.6   0	      80	18
7	   184.1   0	      130	43
8	   178.3   0	      126	41
9	   170.7   0	      106	50
10	   247.1   0	      54	32
11	   255.3   0	      60	18
12	   186.1   0	      110	41
13	   181.6   0	      124	51
14	   206.9   0	      99	37
15	   185.9   0	      124	49
16	   110.6   0	      116	65
