Comparison of Mean ADCs for PMT1 before and after resistors
	   (1335)  	      (1354)
Pixel	   Mean	   Sigma      Mean	Sigma
1	   187.1   0	      218	45
2	   194.1   0	      234	32
3	   204.5   0	      184	27
6	   222.6   0	      160	18
7	   184.1   0	      260	43
8	   178.3   0	      252	41
9	   170.7   0	      212	50
10	   247.1   0	      108	32
11	   255.3   0	      120	18
12	   186.1   0	      220	41
13	   181.6   0	      248	51
14	   206.9   0	      198	37
15	   185.9   0	      248	49
16	   110.6   0	      232	65
