Comparison of Mean ADCs for PMT 2 before and after resistors
	   (1335)  	    (1354)
Pixel	   Mean	   Sigma    Mean	Sigma
1	   162.8   0	    143		37
2	   146	   0	    142		42
3	   161	   0	    138		42
5	   312.5   0	    123		35
6	   215.9   0	    125		36
7	   182.1   0	    139		39
9	   184.3   0	    141		41
10	   205.7   0	    129		31
11	   227.2   0	    126		39
12	   180	   0	    134		40
13	   177.7   0	    145		38
14	   160.6   0	    151		36
15	   148.5   0	    141		42
16	   149.6   0	    143		40
