Comparison of Mean ADCs for PMT 3 before and after resistors
	   (1335)  	    (1354)
Pixel	   Mean	   Sigma     Mean    Sigma
1	   286.1   0	     235     49
3	   274.5   0	     247     55
4	   256.3   0	     240     54
5	   273.5   0	     253     59
6	   286.1   0	     236     53
7	   346	   0	     250     57
8	   277.3   0	     246     50		
9	   242.8   0	     218     50     
10	   296.1   0	     259     67
12	   264.4   0	     247     51
13	   311.1   0	     240     53
14	   243.3   0	     231     42	
15	   280.7   0	     247     52
16	   274.5   0	     250     65
