Comparison of mean adc for PMT 4 before and after resistors
         (1335)            
Pixel    Mean    Sigma     Mean    Sigma
2        1082      0       311     109
3        571       0       359     110
4        423       0       362     80
5        579       0       350     86
6        701       0       344     70
7        683       0       334     72
8        516       0       337     64
9        348       0       353     80 
10       371       0       331     81
11       402       0       356     66
12       610       0       347     71
14       591       0       332     85
15       433       0       344     76
16       372       0       341     87
