Comparison of mean adc values for PMT 5 before and after resistors
         (1335)           (1351)
Pixel    Mean     Sigma   Mean     Sigma
1        241        0     143      53
2        186        0     100      39
3        157        0     165      47
5        299        0     150      53
6        420        0     158      36
7        376        0     151      37
8        398        0     162      34
9        300        0     161      34 
10       376        0     159      21
11       324        0     150      22
12       302        0     157      23
13       285        0     161      25
15       288        0     163      41
16       186        0     150      52
