Comparison of mean adc values for PMT 6 before and after resistors
          (1335)              (1351)
Pixel     Mean     Sigma      Mean      Sigma
1         124        0        85        25
2         169        0        75        24
4         523        0        105       37
5         313        0        109       42
6         544        0        115       30
7         462        0        104       46
8         532        0        103       30
9         429        0        114       26
10        523        0        119       32
11        383        0        113       38
12        379        0        111       36
14        500        0        117       38
15        592        0        105       43
16        394        0        105       50
