Comparison of mean adc for PMT 8 before and after resistors.
             (1335)                (1351)
Pixel        Mean      Sigma       Mean       Sigma
1            330         0         178        61
2            239         0         193        51
3            241         0         195        40
4            237         0         200        37
5            201         0         180        51
6            226         0         195        43
7            258         0         209        53
8            262         0         203        43
9            265         0         199        52
10           264         0         180        33
11           265         0         206        48
12           295         0         213        50
14           243         0         189        45
15           266         0         199        29
