Comparison of Mean ADCs for PMT 9 before and after resistors
          (1335)             (1351)
Pixel      Mean     Sigma     Mean     Sigma
1          387       0        144        30
2          324       0        177        46
3          356       0        168        51
5          365       0        174        50
6          301       0        172        50
7          268       0        183        63
8          183       0        141        52
9          466       0        154        61
10         643       0        160        55
11         677       0        147        8 
12         519       0        147        66
13         482       0        137        46
14         721       0        156        37
15         541       0        163        53 
