PMT 7 Efficiency
Run#	1320	1319	1318	1317	1324
HV:	700	725	750	775	800
1	0.914	0.960	0.936	0.956	0.947
2	0.820	0.898	0.951	0.943	0.935
3	0.854	0.963	0.966	0.975	0.971
5	0.873	0.984	0.966	0.968	0.972
6	0.920	0.992	0.981	0.996	0.992
7	0.915	0.991	0.983	0.996	0.974
8	0.928	0.992	0.981	0.996	0.993
9	0.891	0.983	0.969	0.971	0.982
10	0.962	0.979	0.987	0.990	0.992
11	0.907	0.956	0.968	0.965	0.447
12	0.908	0.987	0.974	0.972	0.960
13	0.892	0.980	0.942	0.988	0.949
14	0.808	0.959	0.968	0.967	0.951
15	0.778	0.847	0.884	0.883	0.863
