Mean ADC values for run 1335 for PMT 1 & PMT 2
            (1)                  (2)
Pixel       Mean      Sigma      Mean      Sigma
1           180.4     43.7       163.4     41.9     
2           196.1     43.9       149.2     44.2
3           191.6     52.5       169.0     35.7
4             -         -          -         -
5             -         -        312.2     81.2
6           212.4     70.8       211.3     52.3
7           195.6     53.5       177.6     40.1
8           180.9     57.1         -         -
9           176.5     45.5       191.0     51.4
10          264.9     90.9       195.3     44.3
11          250.7     69.1       212.1     56.6
12          186.1     52.6       186.0     52.6
13          192.1     59.8       189.9     53.2
14          215.4     75.2       212.7     78.0
15          195.4     62.2       146.8     49.4
16          ** bad  fit **       148.2     38.0

Mean ADC values for run 1291 for PMT 1 & PMT 2

Pixel       Mean      Sigma      Mean      Sigma
1           182.2     51.2       161.3     32.6
2           188.8     54.4       147.4     39.4
3           199.8     51.9       162.9     42.2
4             -         -          -         -
5             -         -        320.7     68.3
6           214.1     56.2       220.2     52.8
7           188.6     54.8       181.3     47.2
8           152.2     72.2         -         -
9           158.7     50.1       185.1     42.7
10          253.8     67.2       195.5     44.3
11          253.8     80.5       221.2     37.9
12          182.3     49.2       172.3     38.7
13          166.3     53.7       183.3     48.7
14          213.7     63.6       162.3     42.2
15          205.7     63.2       147.5     39.7
16           ** bad fit **       145.4     36.7




