Comparison of mean adc values for PMT 10 before and after resistors
            (1440)               (1483)
Pixel       Mean     Sigma       Mean      Sigma
1           526       103         535       164
2           826       92          502       135
3           728       175         550       108
4           668       146         560       144
6           957       213         511       113
7           931       208         554       116
8           856       203         541       96
10          785       170         554       101
11          582       103         546       130
12          797       159         516       91
13          571       142         517       138
14          564       112         523       131
15          414       97          446       103
16          708      471          527      402
