Comparison of mean adc for PMT 12 at 800V before and after resistors.
       		 (1418)	       	     	       (1440)
Pixel # 	 Mean Value 	Sigma 	       Mean Value     Sigma
2		 835.408      204.903	       173.9	      45.9
3		 606.827      167.525	       162.3	      57.1
5		 783.289      160.463	       173.0	      50.3
6		 605.914      209.570	       173.2	      49.3
7		 423.770      119.640	       190.5	      67.3
8		 521.824      120.916	       189.9	      63.3
9		 438.388      140.363	       197.4	      54.6
10		 496.012      129.977	       172.8	      54.4
11		 410.783      115.793	       191.3	      47.2
12		 451.822      117.796	       208.2	      57.2
13		 520.348      134.357	       191.8	      57.5
14		 482.140      105.949	       198.2	      43.7
15		 571.249      174.045	       191.3	      67.2
16		 652.193      199.140	       203.2	      57.0

