Comparison of mean adc for PMT 13 before and after resistors.
          (1440)              (1533)
Pixel     Mean     Sigma      Mean      Sigma
2         437       137       691      180
3         337       122       676      338
4         751       234       728      152
5         338       120       667      246
6         605       208       672      420
7         393       119       674      228
8         473       163       721      171
9         407       163       669      155
10        322       95        636      149
11        403       168       683      235
12        792       183       688      135
13        528       123       677      406
14        452       132       724      246
15        397       107       685      169
