Comparison of mean adc for PMT 14 before and after resistors.
	   (1440)      	       	 (1441)
Pixel      Mean      Sigma       Mean      Sigma
1 	   706.1     195.7	 425.1	   115.1        
2          448.6     174.0	 426.1	   119.1
3          599.5     192.5	 467.6	   139.4
4          462.0     122.1	 428.3	   115.3
5          422.7     147.3	 432.3	   115.4
6          595.7     184.1	 428.7	   129.9
7          549.7     168.4	 441.2	   106.6
9          374.0     90.2	 419.6	   85.1	
10         370.1     86.0	 424.7	   113.4
11         368.0     92.7	 421.3	   102.0
13         433.0     108.1	 419.3	   106.5
14         355.5     97.0	 421.0	   115.2
15         329.3     66.6	 378.8	   138.4
16	   371.7     90.1	 425.3	   115.2
