Comparison of Mean ADCs for PMT1 before and after resistors
	   (1439)  	      (1523)
Pixel	   Mean	   Sigma      Mean	Sigma
2	   302     87	      157	56
3	   270     93	      164	39
4	   475     127	      169	54
5	   305     102	      152	51
6	   292     92	      155	55
7	   277     83	      135	54
8	   341     93	      166	44
9	   241     85	      145	51
10	   261     57	      144	66
11	   257     66	      188	67
12	   201     65	      163	73
13	   129     52	      172	51
15	   156     41	      157 	56
16	   144     55	      154 	66
