Comparison of Mean ADCs for PMT 2 before and after resistors
	   (1438)  	    (1439)
Pixel	   Mean	   Sigma    Mean	Sigma
1	   330.8   0	    336.9	108.1
3	   380.2   0	    346.1	104.5	
4	   419.4   0	    341.3	110.7
5	   549.1   0	    337.5	105.8
6	   257.4   0	    284.1	85.1
7	   298.0   0	    346.3	89.9
8	   403.4   0	    311.6	100.4
9	   297.5   0	    327.6	113.5
10	   297.0   0	    333.7	93.4
11	   329.9   0	    297.0	106.2
12	   307.5   0	    333.5	119.1
13	   331.7   0	    337.5	117.9
14	   320.3   0	    314.2	92.9
15	   359.6   0	    324.1	103.7
