Comparison of mean adc for PMT 4 before and after resistors
         (1439)            (1458)
Pixel    Mean    Sigma     Mean    Sigma
1	   211     87	     148     65
2	   525     191	     156     49
3	   215     58	     159     49
5	   197     62	     158     52
7	   206     67	     166     48
8	   133	   43	     155     57
9	   225     91	     172     49		
10	   155     42	     149     45     
11	   128     42	     148     45
12	   291     97	     160     43
13	   304     87	     150     56
14	   327     141	     158     50	
15	   226     54	     147     49
16	   181     52	     157     48
