Comparison of mean adc values for PMT 5 before and after resistors
         (1439)           (1521)
Pixel    Mean     Sigma   Mean     Sigma
1        456       118    349      65
2        392       115    343      80
3        510       165    325      120
4        284       217    337      218
5        279       65     359      76
7        235       47     341      63
8        239       54     350      89
9        221       43     342      76 
10       196       54     341      69
11       167       37     312      60
12       175       33     315      69
14       284       403    337      413
15       278       62     332      110
16       254       52     335      66
