Comparison of mean adc values for PMT 6 before and after resistors
          (1443)              (1479)
Pixel     Mean     Sigma      Mean      Sigma
1         1006      230       636       141
2         683       188       432       116
3         3249      0         2021      430
4         635       162       420       109
5         587       143       458       115
6         571       125       416       109
7         388       92        449       120
8         422       103       414       113
9         352       132       402       102
10        523       129       432       96
11        346       81        396       101
14        424       110       443       110
15        531       108       408       103
16        361       93        399       128
