Comparison of mean adc for PMT 7 before and after resistors.
          (1495)             (1501)
Pixel     Mean     Sigma     Mean     Sigma
2         261       72       327      84
3         272       72       337      91
4         487       103      304      77
5         306       73       339      91
6         388       111      329      86
7         428       99       321      78
8         398       110      303      70
9         368       97       310      88
10        371       104      318      97
11        358       79       340      74
12        279       68       336      82
14        302       75       331      82
15        270       97       345      94
16        2114      645      1921     616

