Comparison of mean adc for PMT 8 before and after resistors.
             (1443)                (1511)
Pixel        Mean      Sigma       Mean       Sigma
2            353        117        387        97
4            348        81         347        70
5            346        76         364        87
6            462        107        348        93
7            385        101        349        83
8            326        78         357        71
9            406        89         362        76
10           386        99         364        81
11           279        68         338        75
12           430        100        358        82
13           364        211        355        202
14           317        64         334        70
15           333        88         351        83
16           364        551        355        507
