PMT 3 Efficiency
Run#	1355	1354	1359	1357	1356
HV:	700	725	750	775	800
1	0.950	0.925	0.947	0.951	0.982
3	0.909	0.939	0.943	0.847	0.935
4	0.968	0.942	0.978	0.902	0.975
5	0.968	0.977	0.932	0.941	1.000
6	0.980	0.987	0.981	1.000	0.952
7	0.996	0.990	1.000	1.000	1.000
8	0.992	1.000	0.981	0.960	1.000
9	0.979	0.961	0.971	0.981	0.923
10	0.991	0.994	1.000	0.959	1.000
12	0.992	0.982	0.968	0.960	1.000
13	0.990	0.993	1.000	0.984	1.000
14	0.964	0.955	0.964	0.886	1.000
15	0.925	0.969	0.983	0.990	0.970
16	0.858	0.931	0.955	0.975	0.968
