PMT 8 Efficiency
Run#	1352	1354	1386	1355	1356
HV:	700	725	750	775	800
1	0.871	0.924	0.826	0.935	0.906
2	0.564	0.703	0.776	0.875	0.947
3	0.761	0.864	0.892	0.964	0.963
4	0.714	0.923	0.972	0.981	0.962
5	0.757	0.935	0.957	0.951	0.945
6	0.790	0.950	0.964	0.931	0.981
7	0.871	0.984	0.983	0.965	0.985
8	0.852	0.974	0.993	0.974	0.965
9	0.783	0.935	0.967	0.967	0.934
10	0.820	0.956	0.978	0.991	0.971
11	0.800	0.947	0.978	0.970	0.936
12	0.772	0.909	0.952	0.952	0.982
14	0.682	0.824	0.928	0.960	0.950
15	0.867	0.848	0.878	0.917	0.936
