Mean ADC values for PMT 14 in runs 1338 compared to 1289
           (1338)               (1289)
Pixel      Mean      Sigma      Mean      Sigma
1           ** bad fit **        ** bad fit **
2          139.4     42.0       152.2     44.6
3          217.6     72.9       228.2     65.9
4          185.1     51.9       202.7     59.3
5          258.2     60.1       260.1     60.3
6          268.1     75.7       265.9     84.4
7          323.2     88.0       338.2     79.9
8          219.4     62.9       211.3     65.4
9          238.1     71.9       231.1     55.6
10         254.1     69.9       253.2     60.6
11         273.1     71.8       274.4     67.8
12         247.9     51.8       254.7     58.5
13           -         -          -         -
14         240.2     87.6       239.5     81.5     
15         240.5     51.4       240.2     63.9
16           -         -          -         -
