Mean ADC values for run 1334 and 1335 for PMT 9
     	 (1334)	    	     	 (1335)
Pixel	 Mean 	    Sigma	 Mean 	  Sigma
1	 754	    268		 387	  96	
2	 631	    260		 324	  79
3	 782	    196		 356	  85
4	  -	     -		  -	   -
5	 775	    183		 365	  88
6	 640	    183		 301	  82
7	 558	    205		 268	  80
8	 442	    116		 183	  76
9	 1001	    235		 466	  114	  
10	 1300	    293		 643	  193
11	 1475	    493		 677	  275
12	 1030	    215		 519	  123
13	 1046	    433		 482	  169
14	 1601	    818		 721	  243
15	 1223	    474		 541	  254
16	  -	     -		  -	   -
