Run #: 1510	 PMT #: 13 	  Paramters of fitted ADC data with good TDC. 
Pixel # 	 Mean Value 	 Error 	 Sigma 

1	0	0	0
2	603.152	0.650871	422.905
3	653.482	0.495284	311.102
4	664.762	0.241984	158.977
5	725.177	0.312176	206.46
6	704.624	0.271927	183.233
7	778.579	0.267043	183.154
8	733.46	0.22457	154.151
9	780.537	0.239932	166.041
10	643.582	0.349884	239.001
11	757.875	0.255662	166.869
12	711.302	0.219562	150.345
13	688.658	0.331093	209.787
14	669.795	0.280714	189.86
15	708.515	0.30075	184.587
16	0	0	0
